CreatedById,CreatedDate,CurrencyIsoCode,Id,IsDeleted,LastModifiedById,LastModifiedDate,Name,ONB2__Active__c,ONB2__AdditionalDescription__c,ONB2__AdditionalTitle__c,ONB2__AggregateIndividualPriced__c,ONB2__BillingPeriod__c,ONB2__BillingType__c,ONB2__BillingUnit__c,ONB2__ChargeModel__c,ONB2__Commission__c,ONB2__ContractValueCorrection__c,ONB2__ContractValueInvoiced__c,ONB2__ContractValueRemaining__c,ONB2__ContractValue__c,ONB2__DecimalPlacesForQuantity__c,ONB2__DecimalPlacesForUnitPrice__c,ONB2__Description__c,ONB2__Discount__c,ONB2__DisplaySubtotalAfter__c,ONB2__EndDate__c,ONB2__GlobalMonthlyMinimum__c,ONB2__IgnoreCriterion__c,ONB2__InvoiceLineItemType__c,ONB2__NextInvoice__c,ONB2__PriceType__c,ONB2__Price__c,ONB2__ProductGroup__c,ONB2__Quantity__c,ONB2__Sequence__c,ONB2__StartDate__c,ONB2__Subscription__c,ONB2__SyncWith__c,ONB2__Title__c,ONB2__TransactionPriceField__c,ONB2__TransactionPriceTierQuantityField__c,ONB2__TransactionQuantityField__c,ONB2__TransactionType__c,ONB2__Unit__c,OwnerId,SalesMRR__c,SystemModstamp,bIsBundle__c,bIsHardware__c,bIsModule__c,bIsRecurring__c,bIsTrialItem__c,bRenewItem__c,fmlActiveMRR__c,fmlChannel__c,fmlDiscountedMRR__c,fmlItemPriceDiscounted__c,fmlNextInvoiceValue__c,fmlNextRevenue__c,fmlTerm__c,plChannelCountryCode__c,plChannelSalesType__c,plChannelUserRole__c,plFinancialReporting_ProductClass__c,refContract__c,refOpportunity__c,refParentItem__c,refProduct2__c,ruItemPrice__c,strFinancialReporting_SalesChannel__c,strOpportunityProductId__c,strParentOpportunityProductId__c,object_type
005b00000038AwiAAE,2016-08-19 16:40:01,EUR,a25b00000006dBRAAY,False,005b0000003Yw8VAAS,2016-09-13 13:48:04,b_business,True,,,False,12.0,Recurring,Month,,,,,2277.08,2277.0828,,,"Onlinekalender, Terminmanagement, Online Terminbuchung über Webseite und Facebook, SMS-Terminerinnerung, Kundendatenbank, Newsletter Marketing, Kundenfeedback, Partnernetzwerk, cloudbasierte Zugänge, Mitarbeiter-Apps für iOS/Android",8.33,False,2019-09-19,False,False,,,Default,,Licence,1.0,10.0,2016-09-20,a2Lb0000002T0AqEAK,,Shore Business Cloud,,,,,,005b00000038AwiAAE,2277.08,2016-09-13 13:48:04,True,False,False,True,False,True,63.25,FirstSell_INB_DE,63.25,63.25,759.03,759.03,36.0,DE,FirstSell,INB,None,800b00000095NLWAA2,006b000000KVug1AAD,,01tb0000004ri0cAAA,69.0,Inbound_DE,00kb000003pLRq0AAG,,ONB2__Item__c
005b00000038AwiAAE,2016-08-19 16:40:01,EUR,a25b00000006dBSAAY,False,005b0000003Yw8VAAS,2016-09-13 13:48:04,s_business,True,,,False,12.0,One-Time,None,,,,,250.0,250.0,,,,0.0,False,2016-09-20,False,False,,,Default,,Setup,1.0,20.0,2016-09-20,a2Lb0000002T0AqEAK,,Einrichtungsgebühr Shore Business Cloud,,,,,,005b00000038AwiAAE,0.0,2016-09-13 13:48:04,False,False,False,False,False,True,0.0,FirstSell_INB_DE,0.0,250.0,250.0,0.0,0.0,DE,FirstSell,INB,None,800b00000095NLWAA2,006b000000KVug1AAD,,01tb0000004ri1aAAA,250.0,Inbound_DE,00kb000003pLRq1AAG,00kb000003pLRq0AAG,ONB2__Item__c
005b00000038AwiAAE,2016-06-22 10:10:36,EUR,a25b0000004d2ngAAA,False,005b0000003Yw8VAAS,2016-09-13 13:48:45,cash00,True,,,False,12.0,Recurring,Month,,,,979.04,1958.07,2937.1068,,,"Cloudbasiertes Kassensystem, Finanzamt- und GoBD-konform",8.33,False,2019-09-19,False,False,,,Default,,Module,1.0,20.0,2016-09-20,a2Lb00000027xxHEAQ,,Shore Cash,,,,,,005b00000038AwiAAE,2937.11,2016-09-13 13:48:45,False,False,False,False,False,True,81.59,FirstSell_SME_DE,81.59,81.59,979.04,979.04,36.0,DE,FirstSell,SME,Licence-CASH,,,,,89.0,Outbound_DE,,,ONB2__Item__c
005b0000003Yw8VAAS,2016-07-08 08:52:40,EUR,a25b0000004d3wYAAQ,False,005b0000003Yw8VAAS,2016-09-13 13:49:40,webpro00,True,,,False,12.0,Recurring,Month,,,,,2607.09,2607.0948,,,"individuelle Webseite, mobil- und suchmaschinenoptimiert,Full-Service, modernes Design",8.33,False,2019-09-19,False,False,,,Default,,Module,1.0,10.0,2016-09-20,a2Lb00000027yq6EAA,,Shore Web,,,,,,005b0000003Yw8VAAS,2607.09,2016-09-13 13:49:40,False,False,False,False,False,True,72.42,FirstSell_SME_DE,72.42,72.42,869.03,869.03,36.0,DE,FirstSell,SME,Licence-WEB,800b0000003xvMhAAI,006b000000KVNbtAAH,,01tb0000005MVu0AAG,79.0,Outbound_DE,00kb000003ob0wzAAA,,ONB2__Item__c
005b0000003Yw8VAAS,2016-07-19 07:48:02,EUR,a25b0000004d4QmAAI,False,005b0000003Yw8VAAS,2016-09-13 13:50:43,b_business,True,,,False,1.0,Recurring,Month,,,,,948.0,948.0,,,"Calendario online, gestione degli appuntamenti, prenotazione online degli appuntamenti tramite widget sul sito e sulla pagina facebook, promemoria via SMS, banca dati clienti, newsletter, inserimento nella rete di soci partner, login personalizzato per ogni dipendente, app per i dipendenti in versione iOS ed Android",0.0,False,2017-09-19,False,False,,,Default,,Licence,1.0,10.0,2016-09-20,a2Lb00000027z8QEAQ,,Shore Business Cloud,,,,,,005b0000003Yw8VAAS,948.0,2016-09-13 13:50:43,True,False,False,True,False,True,79.0,FirstSell_SME_IT,79.0,79.0,79.0,79.0,12.0,IT,FirstSell,SME,None,800b0000003xwlVAAQ,006b000000KzBGKAA3,,01tb0000004rhzUAAQ,79.0,Outbound_IT,00kb000003ot8gpAAA,,ONB2__Item__c
005b0000003Yw8VAAS,2016-07-19 07:48:02,EUR,a25b0000004d4QnAAI,False,005b0000003Yw8VAAS,2016-09-13 13:50:43,m_branding,True,,,False,1.0,Recurring,Month,,,,,0.0,0.0,,,,0.0,False,2017-09-19,False,False,,,Default,,Module,1.0,20.0,2016-09-20,a2Lb00000027z8QEAQ,,Branding via SMS/E-Mail,,,,,,005b0000003Yw8VAAS,0.0,2016-09-13 13:50:43,False,False,True,True,False,True,0.0,FirstSell_SME_IT,0.0,0.0,0.0,0.0,12.0,IT,FirstSell,SME,None,800b0000003xwlVAAQ,006b000000KzBGKAA3,,01tb0000004rhzeAAA,0.0,Outbound_IT,00kb000003ot8gqAAA,00kb000003ot8gpAAA,ONB2__Item__c
005b0000003Yw8VAAS,2016-07-19 07:48:02,EUR,a25b0000004d4QoAAI,False,005b0000003Yw8VAAS,2016-09-13 13:50:43,m_feedback,True,,,False,1.0,Recurring,Month,,,,,0.0,0.0,,,,0.0,False,2017-09-19,False,False,,,Default,,Module,1.0,30.0,2016-09-20,a2Lb00000027z8QEAQ,,Feedback da Parte del Cliente,,,,,,005b0000003Yw8VAAS,0.0,2016-09-13 13:50:43,False,False,True,True,False,True,0.0,FirstSell_SME_IT,0.0,0.0,0.0,0.0,12.0,IT,FirstSell,SME,None,800b0000003xwlVAAQ,006b000000KzBGKAA3,,01tb0000004rhzZAAQ,0.0,Outbound_IT,00kb000003ot8grAAA,00kb000003ot8gpAAA,ONB2__Item__c
005b00000038AwiAAE,2016-07-13 09:17:37,EUR,a25b0000004d4BcAAI,False,005b0000003Yw8VAAS,2016-09-13 13:52:06,b_business,True,,,False,1.0,Recurring,Month,,,,80.0,880.0,960.0,,,"Calendario online, gestione degli appuntamenti, prenotazione online degli appuntamenti tramite widget sul sito e sulla pagina facebook, promemoria via SMS, banca dati clienti, newsletter, inserimento nella rete di soci partner, login personalizzato per ogni dipendente, app per i dipendenti in versione iOS ed Android",0.0,False,2017-09-05,False,False,,2016-10-06,Default,,Licence,1.0,10.0,2016-09-06,a2Lb00000027z0UEAQ,,Shore Business Cloud,,,,,,005b00000038AwiAAE,960.0,2016-09-13 13:52:06,True,False,False,True,False,True,80.0,FirstSell_SME_IT,80.0,80.0,80.0,80.0,12.0,IT,FirstSell,SME,None,800b0000003xw3TAAQ,006b000000KVGngAAH,,01tb0000004rhzUAAQ,80.0,Outbound_IT,00kb000003osco0AAA,,ONB2__Item__c
005b00000038AwiAAE,2016-07-13 09:17:37,EUR,a25b0000004d4BdAAI,False,005b0000003Yw8VAAS,2016-09-13 13:52:06,m_branding,True,,,False,1.0,Recurring,Month,,,,0.0,0.0,0.0,,,,0.0,False,2017-09-05,False,False,,2016-10-06,Default,,Module,1.0,20.0,2016-09-06,a2Lb00000027z0UEAQ,,Branding via SMS/E-Mail,,,,,,005b00000038AwiAAE,0.0,2016-09-13 13:52:06,False,False,True,True,False,True,0.0,FirstSell_SME_IT,0.0,0.0,0.0,0.0,12.0,IT,FirstSell,SME,None,800b0000003xw3TAAQ,006b000000KVGngAAH,,01tb0000004rhzeAAA,0.0,Outbound_IT,00kb000003osco1AAA,00kb000003osco0AAA,ONB2__Item__c
005b00000038AwiAAE,2016-07-13 09:17:37,EUR,a25b0000004d4BeAAI,False,005b0000003Yw8VAAS,2016-09-13 13:52:06,m_feedback,True,,,False,1.0,Recurring,Month,,,,0.0,0.0,0.0,,,,0.0,False,2017-09-05,False,False,,2016-10-06,Default,,Module,1.0,30.0,2016-09-06,a2Lb00000027z0UEAQ,,Feedback da Parte del Cliente,,,,,,005b00000038AwiAAE,0.0,2016-09-13 13:52:06,False,False,True,True,False,True,0.0,FirstSell_SME_IT,0.0,0.0,0.0,0.0,12.0,IT,FirstSell,SME,None,800b0000003xw3TAAQ,006b000000KVGngAAH,,01tb0000004rhzZAAQ,0.0,Outbound_IT,00kb000003osco2AAA,00kb000003osco0AAA,ONB2__Item__c
005b00000038AwiAAE,2016-06-30 18:49:55,EUR,a25b0000004d3aFAAQ,False,005b0000003Yw8VAAS,2016-09-13 13:53:07,prenew24,True,,,False,1.0,Recurring,Month,,,,,4248.0,4248.0,,,"Gestione clienti, Marketing automatizzato, Commenti, prenonazioni online ecc.",0.0,False,2019-09-19,False,False,,,Default,,Licence,2.0,10.0,2016-09-20,a2Lb00000027yYxEAI,,Shore Premium,,,,,,005b00000038AwiAAE,4248.0,2016-09-13 13:53:07,False,False,False,False,False,True,118.0,FirstSell_SME_IT,118.0,59.0,118.0,118.0,36.0,IT,FirstSell,SME,Licence-CRM,800b0000003xuQJAAY,006b000000KUwsCAAT,,01tb0000004BoqnAAC,59.0,Outbound_IT,00kb000003mNWI0AAO,,ONB2__Item__c
005b00000038AwiAAE,2016-06-30 18:49:55,EUR,a25b0000004d3aGAAQ,False,005b0000003Yw8VAAS,2016-09-13 13:53:07,service00,True,,,False,1.0,Recurring,Month,,,,,0.0,0.0,,,Premium Support,0.0,False,2019-09-19,False,False,,,Default,,Module,2.0,20.0,2016-09-20,a2Lb00000027yYxEAI,,Shore Success Plus,,,,,,005b00000038AwiAAE,0.0,2016-09-13 13:53:07,False,False,False,False,False,True,0.0,FirstSell_SME_IT,0.0,0.0,0.0,0.0,36.0,IT,FirstSell,SME,Module-CRM,800b0000003xuQJAAY,006b000000KUwsCAAT,,01tb0000005p0tfAAA,0.0,Outbound_IT,00kb000003mNWI1AAO,,ONB2__Item__c
005b00000038AwiAAE,2016-07-13 09:30:07,EUR,a25b0000004d4BhAAI,False,005b0000003Yw8VAAS,2016-09-13 13:53:50,digitalapp24,True,,,False,1.0,Recurring,Month,,,,,1788.0,1788.0,,,Shore Digital contiene il pacchetto Enterprise e facoltativamente Shore Web o Shore App,0.0,False,2017-09-04,False,False,,,Default,,Licence,1.0,10.0,2016-09-05,a2Lb00000027z0ZEAQ,,Shore Digital+Shore App,,,,,,005b00000038AwiAAE,1788.0,2016-09-13 13:53:50,False,False,False,False,False,True,149.0,FirstSell_SME_IT,149.0,149.0,149.0,149.0,12.0,IT,FirstSell,SME,None,800b0000003xw2VAAQ,006b000000KzGQEAA3,,01tb0000005p0tVAAQ,149.0,Outbound_IT,00kb000003oscyzAAA,,ONB2__Item__c
005b00000038AwiAAE,2016-07-21 08:36:31,EUR,a25b0000004d4e6AAA,False,005b0000003Yw8VAAS,2016-09-13 13:55:27,b_digital,True,,,False,1.0,Recurring,Month,,,,99.0,1089.0,1188.0,,,"Shore Business Cloud + funzioni extra a scelta tra: Shore App, Shore Web, Shore Cash, set di componenti hardware per Shore Cash",0.0,False,2017-09-07,False,False,,2016-10-08,Default,,Licence,1.0,10.0,2016-09-08,a2Lb00000027zClEAI,,Shore Digital Cloud,,,,,,005b00000038AwiAAE,1188.0,2016-09-13 13:55:27,True,False,False,True,False,True,99.0,FirstSell_SME_IT,99.0,99.0,99.0,99.0,12.0,IT,FirstSell,SME,None,800b0000003xwHKAAY,006b000000KVprEAAT,,01tb0000004ri03AAA,99.0,Outbound_IT,00kb000003oshfVAAQ,,ONB2__Item__c
005b00000038AwiAAE,2016-07-21 08:36:31,EUR,a25b0000004d4e7AAA,False,005b0000003Yw8VAAS,2016-09-13 13:55:27,m_app,True,,,False,1.0,Recurring,Month,,,,49.0,539.0,588.0,,,,0.0,False,2017-09-07,False,False,,2016-10-08,Default,,Module,1.0,20.0,2016-09-08,a2Lb00000027zClEAI,,Shore App,,,,,,005b00000038AwiAAE,588.0,2016-09-13 13:55:27,False,False,True,True,False,True,49.0,FirstSell_SME_IT,49.0,49.0,49.0,49.0,12.0,IT,FirstSell,SME,None,800b0000003xwHKAAY,006b000000KVprEAAT,,01tb0000004rhztAAA,49.0,Outbound_IT,00kb000003oshfWAAQ,00kb000003oshfVAAQ,ONB2__Item__c
005b00000038AwiAAE,2016-07-21 08:36:31,EUR,a25b0000004d4e8AAA,False,005b0000003Yw8VAAS,2016-09-13 13:55:27,m_web,True,,,False,1.0,Recurring,Month,,,,79.0,869.0,948.0,,,,0.0,False,2017-09-07,False,False,,2016-10-08,Default,,Module,1.0,30.0,2016-09-08,a2Lb00000027zClEAI,,Shore Web,,,,,,005b00000038AwiAAE,948.0,2016-09-13 13:55:27,False,False,True,True,False,True,79.0,FirstSell_SME_IT,79.0,79.0,79.0,79.0,12.0,IT,FirstSell,SME,None,800b0000003xwHKAAY,006b000000KVprEAAT,,01tb0000004rhzyAAA,79.0,Outbound_IT,00kb000003oshfXAAQ,00kb000003oshfVAAQ,ONB2__Item__c
005b0000001PvcTAAS,2015-10-05 07:55:40,EUR,a25b0000003wH5KAAU,False,005b00000045PzBAAU,2016-09-13 14:01:29,webpro00,True,,,False,1.0,Recurring,Month,,,,1089.0,2475.0,3564.0,,,"Homepage BASIC + ottimizzazione-SEO, consulente personale, fino a 10 pagine secondarie",0.0,False,2018-11-05,False,False,,2016-10-06,,,Module,1.0,10.0,2015-11-06,a2Lb00000004LH1EAM,,Homepage PLUS,,,,,,005b0000001PvcTAAS,3564.0,2016-09-13 14:01:29,False,False,False,False,False,True,99.0,FirstSell_SME_IT,99.0,99.0,99.0,99.0,36.0,IT,FirstSell,SME,Licence-WEB,,,,,99.0,Outbound_IT,,,ONB2__Item__c
